id,title,overview,genres,keywords,cast,director,runtime,release_date,vote_average,vote_count,popularity,poster_path,backdrop_path,original_language
969681,Spider-Man: Brand New Day,Fighting crime full-time as Spider-Man in a world that doesn't remember him—and the pressure of seeing his old friends move on without him—sparks a change in Peter Parker he may not have the power to control. But that transformation might also be the only thing that can stop a shocking new threat to the city and those he loves - a powerful villain no one can even see.,"['Science Fiction', 'Action', 'Adventure']","['mind control', 'new york city', 'hero', 'mutation', 'secret identity', 'superhero', 'spider', 'villain', 'based on comic', 'sequel', 'transhumanism', 'super power', 'masked vigilante', 'spider web', 'aftercreditsstinger', 'marvel cinematic universe (mcu)', 'masked superhero', 'fight for justice', 'genetic mutation']","['Tom Holland', 'Zendaya', 'Mark Ruffalo', 'Jon Bernthal', 'Jacob Batalon', 'Sadie Sink', 'Florence Pugh', 'Liza Colón-Zayas', 'Tramell Tillman', 'Marisa Tomei']",['Destin Daniel Cretton'],145,2026-07-29,7.859,1618,1065.0058,/iPOn6DinuVyLY17YM9mKuPofV08.jpg,/qeQJx07rK2xm8SD2sJxFKhE7gs0.jpg,en
1368337,The Odyssey,"Odysseus, the legendary King of Ithaca, embarks on a long and perilous journey home following the Trojan War. Throughout his voyage, he is forced to confront the whims of gods, mythological monsters, and trials that stretch both his cunning and his humanity to the breaking point.","['Adventure', 'Action', 'Fantasy']","['ship', 'trojan war', 'greek mythology', 'historical fiction', 'ancient world', 'period drama', 'based on song, poem or rhyme', 'greek history', 'voyage', 'peplum', 'ancient', 'trojan horse', 'mediterranean sea', 'bronze age', 'mythical', 'odyssey', 'sword and sandal', 'epic fantasy']","['Matt Damon', 'Tom Holland', 'Anne Hathaway', 'Robert Pattinson', 'Himesh Patel', 'Charlize Theron', 'John Leguizamo', 'Travis Scott', 'Corey Hawkins', 'Jarreth J. Merz']",['Christopher Nolan'],173,2026-07-15,8.0,2681,862.2605,/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg,/RMXG8myu1aGlNUsRjtxzmpdMK0.jpg,en
634649,Spider-Man: No Way Home,"Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.","['Action', 'Adventure', 'Science Fiction']","['new york city', 'hero', 'showdown', 'magic', 'loss of loved one', 'secret identity', 'superhero', 'villain', 'portal', 'based on comic', 'sequel', 'vigilante', 'superhero team', 'masked vigilante', 'alternative reality', 'aftercreditsstinger', 'duringcreditsstinger', 'marvel cinematic universe (mcu)', 'masked superhero', 'fight for justice', 'teen superhero', 'superhero teamup', 'returning hero', 'teamwork', 'multiverse']","['Tom Holland', 'Zendaya', 'Benedict Cumberbatch', 'Jacob Batalon', 'Jon Favreau', 'Jamie Foxx', 'Willem Dafoe', 'Alfred Molina', 'Benedict Wong', 'Tony Revolori']",['Jon Watts'],148,2021-12-15,7.938,22633,634.4715,/1g0dhYtq4irTY1GPXvft6k4YLjm.jpg,/14QbnygCuTO0vl7CAFmPf1fgZfV.jpg,en
1284041,The Last House,A family suddenly sealed inside their home must work together to survive against dwindling resources and the ominous threat keeping them trapped.,"['Horror', 'Science Fiction', 'Thriller']","['monster', 'water monster', 'sea creature', 'cautionary', 'baffled', 'excited', 'dangerous rain']","['Greta Lee', 'Wagner Moura', 'Riley Chung', 'Noah Alexander Sosnowski', 'Emma Ho', 'Gabriel Barbosa', 'Arden Cho', 'Audrey Anderson', 'Sid Edwards', 'Eveline Reynolds-Boison']",['Louis Leterrier'],110,2026-08-06,6.871,520,388.6318,/6JU7E8Vv2M11egkctWVOScxWR75.jpg,/2mPmccLg8QCD4ZF6v8kSsUijPPW.jpg,en
1315772,Minions & Monsters,"This is the rambunctious, ridiculous and totally true story of how the Minions conquered Hollywood, became movie stars, lost everything, unleashed monsters onto the world and then banded together to try and save the planet from the mayhem they had just created.","['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['magic', 'sequel', 'alien', 'prequel', 'hollywood', 'spin off', 'henchman', 'filmmaking', 'silent film', 'framing device', ""women's suffrage"", '1920s', 'humanoid robot', '3d animation', 'monsters', 'early sound film']","['Pierre Coffin', 'Trey Parker', 'Christoph Waltz', 'Allison Janney', 'Jesse Eisenberg', 'Jeff Bridges', 'Zoey Deutch', 'Bobby Moynihan', 'Phil LaMarr', 'George Lucas']",['Pierre Coffin'],90,2026-06-24,7.209,485,344.0984,/nz7i42yhLIJ4ve9JKgM6NthoLHO.jpg,/kkcwhgSFd81QDlXo8ytrpHPQjhy.jpg,en
1375646,Colony,"Professor Se-jeong is thrust into a bloody nightmare when a rapidly mutating virus is released during a biotech conference causing authorities to seal the facility. Trapped inside with no escape, Se-jeong along with a small group of survivors must fight to stay alive while the infected undergo horrific transformations.","['Action', 'Horror', 'Science Fiction']",['zombie'],"['Gianna Jun', 'Koo Kyo-hwan', 'Ji Chang-wook', 'Kim Shin-rock', 'Shin Hyun-been', 'Go Soo', 'Lee Joong-ok', 'Kim Jong-tae', 'Hwang Jae-yeol', 'Lee Dam-hee']",['Yeon Sang-ho'],123,2026-05-21,8.1,473,299.3411,/tN799oUR0f1gUKDYdMNrDaY7I51.jpg,/jDvxsBemt2Iyslg7qn2WMzgxz23.jpg,ko
1084244,Toy Story 5,"When Bonnie receives a Lilypad tablet as a gift and becomes obsessed, Buzz, Woody, Jessie and the rest of the gang's jobs become exponentially harder when they have to go head to head with the all-new threat to playtime.","['Animation', 'Family', 'Comedy', 'Adventure']","['farm', 'island', 'pig', 'horse', 'rescue mission', 'rivalry', 'sequel', 'love', 'stranded', 'wedding', 'tire swing', 'walkie talkie', 'cowgirl', 'cowboy', 'buddy comedy', 'duringcreditsstinger', 'toy comes to life', 'hippo', 'abandonment', 'toilet paper', 'replacement', 'toy', 'frog', '3d animation', 'tablet', 'ipad', 'adoring']","['Tom Hanks', 'Tim Allen', 'Joan Cusack', 'Greta Lee', ""Conan O'Brien"", 'Craig Robinson', 'Shelby Rabara', 'Tony Hale', 'Scarlett Spears', 'Jay Hernandez']",['Andrew Stanton'],102,2026-06-17,7.418,813,276.347,/sfQtVlIHljToOwYjhe21KPGzZWK.jpg,/8sSKdEmlmqF4kJUd28SqthXC4yZ.jpg,en
1339713,Obsession,"After breaking the mysterious ""One Wish Willow"" to win his crush's heart, a hopeless romantic finds himself getting exactly what he asked for but soon discovers that some desires come at a dark, sinister price.","['Horror', 'Thriller']","['obsession', 'supernatural', 'possession', 'wish', 'unrequited love', 'couple', 'grim', 'absurdism', 'self-harm', 'supernatural horror', 'psychological', 'independent film', 'psychological horror', 'cursed object']","['Michael Johnston', 'Inde Navarrette', 'Cooper Tomlinson', 'Megan Lawless', 'Andy Richter', 'Haley Fitzgerald', 'Darin Toonder', 'Anthony Pavone', 'Justice', 'Anthony Casabianca']",['Curry Barker'],109,2026-05-13,8.23,4605,293.7814,/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg,/rZfmzpixLKLR3Hg2u0WgC7XLFl8.jpg,en
1081003,Supergirl,"When an unexpected and ruthless adversary strikes too close to home, Kara Zor-El, aka Supergirl, reluctantly joins forces with an unlikely companion on an epic, interstellar journey of vengeance and justice.","['Action', 'Adventure', 'Science Fiction']","['galaxy', 'hero', 'superhero', 'villain', 'based on comic', 'space', 'female protagonist', 'dog', 'super power', 'heroine', 'reboot', 'solitude', 'supervillain', 'rescue dog', 'dc universe (dcu)']","['Milly Alcock', 'Eve Ridley', 'Matthias Schoenaerts', 'Jason Momoa', 'David Krumholtz', 'Emily Beecham', 'David Corenswet', 'Kadiff Kirwan', 'Thalissa Teixeira', 'Ferdinand Kingsley']",['Craig Gillespie'],108,2026-06-24,6.75,1798,248.9535,/1QCWdqzTfh2x9UylVpspIU6QTuM.jpg,/54KIfdTEzOliHDKx0OkzYGqAICx.jpg,en
1212763,Evil Dead Burn,"After her husband's abrupt death, Alice seeks solace with his remaining family — descendants of a leading researcher on demonic possession. As her in-laws transform one by one into creatures that feed on fear, she comes to discover that the vows she took in life survive even in death.",['Horror'],"['funeral', 'widow', 'supernatural', 'possession', 'dysfunctional family', 'sequel', 'grief', 'spirit', 'demon', 'spin off', 'family', 'book of the dead', 'evil dead', 'demonic possession', 'death of husband', 'abusive husband', 'supernatural horror', 'body horror', 'ghoulish', 'tragic']","['Souheila Yacoub', 'Tandi Wright', 'Hunter Doohan', 'Luciane Buchanan', 'Erroll Shand', 'Maude Davey', 'George Pullar', 'Greta van den Brink', 'Keanu Karim', 'Victory Ndukwe']",['Sébastien Vaniček'],110,2026-07-07,7.908,994,271.5888,/uRxrNXQWkHoENm3nwVOZDYSCx2F.jpg,/o0jkkpcN81QqSl8DMLScBCXyUH9.jpg,en
